Concept,RADx Global Prompt,Variable,Responses,Old Values
Symptoms,Other,nih_other_symp,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,None of the above,nih_no_sympt,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Wheezing,nih_wheezing,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Bluish lips or face,nih_blue_lips,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Loss of balance,nih_balance,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Slurred speech,nih_slurred_peech,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,New confusion,nih_confusion,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Unusual shivering or shaking ,nih_neuro_shakes,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Tingling or numbness or swelling of hands and feet,nih_numb_extremities,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Excessive sweating,nih_sweating,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Seizures,nih_seizures,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Red or purple rash or lesions on toes,nih_rash_toes,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Change in or loss of appetite,nih_appetite,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Health Status,"Would you say that (your) health in general is excellent, very good, good, fair, or poor?",nih_health_status,"0, Excellent;1,Very Good;2,Good;3,Fair;4,Poor;98,Don't know;99,Prefer not to state;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0, Excellent;1,Very Good;2,Good;3,Fair;4,Poor;98,Don't know;99,Prefer not to state"
Health Status,What is your height in inches?,nih_height,"integer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",integer
Health Status,What is your weight in pounds?,nih_weight,"integer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",integer
Health Status,Approximately what is your height?,nih_height_category,"1, 5'1"" - 5'6"";
2, 5'7""-5'11"";
3, 6' and over;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","1, 5'1"" - 5'6"";
2, 5'7""-5'11"";
3, 6' and over"
Health Status,Approximately what is your weight?,nih_weight_category,"1, 100-150;
2, 151-200;
3, over 200
;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","1, 100-150;
2, 151-200;
3, over 200
"
